<<<<<<< HEAD
﻿n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model,remove_multicoli,balancing_sampling_technique,Model,accuracy,f1,precision,recall
27,nothing,knn__uniform,RFE__RF,Yes,ADASYN,NN,0.0764,0.1265,0.0675,1.0000
25,NaN,knn__uniform,RFE__RF,Yes,ROSE,NN,0.0701,0.1257,0.0671,1.0000
12,3s,knn__uniform,BoS__shap,Yes,ROSE,NN,0.0669,0.1254,0.0669,1.0000
26,3s,knn__uniform,RFE__RF,Yes,SMOTEENN,NN,0.0669,0.1254,0.0669,1.0000
240,NaN,knn__uniform,nothing,Yes,ADASYN,NN,0.0669,0.1254,0.0669,1.0000
240,NaN,knn__uniform,nothing,Yes,SMOTE,NN,0.0669,0.1254,0.0669,1.0000
5,nothing,knn__uniform,BoS__shap,Yes,SMOTEENN,NN,0.0669,0.1254,0.0669,1.0000
27,nothing,knn__uniform,RFE__RF,Yes,SMOTEENN,NN,0.0669,0.1254,0.0669,1.0000
27,nothing,knn__uniform,RFE__RF,Yes,ROSE,NN,0.0669,0.1254,0.0669,1.0000
240,nothing,knn__uniform,nothing,Yes,ADASYN,NN,0.0669,0.1254,0.0669,1.0000
10,3s,knn__uniform,BoS__shap,Yes,ADASYN,NN,0.0987,0.1238,0.0662,0.9524
225,3s,knn__uniform,nothing,Yes,ROSE,RF,0.9331,0.0000,0.0000,0.0000
223,3s,MICE,nothing,Yes,ROSE,RF,0.9331,0.0000,0.0000,0.0000
226,nothing,knn__uniform,nothing,Yes,ROSE,RF,0.9331,0.0000,0.0000,0.0000
223,nothing,MICE,nothing,Yes,ROSE,RF,0.9331,0.0000,0.0000,0.0000
24,3s,knn__uniform,RFE__RF,Yes,ROSE,NN,0.9331,0.0000,0.0000,0.0000
240,nothing,knn__uniform,nothing,Yes,SMOTE,NN,0.9331,0.0000,0.0000,0.0000
>>>>>>> 46913c242e2c7140b8602347d954163a1c1f2ab2
240,nothing,knn__uniform,nothing,Yes,ROSE,NN,0.9331,0.0000,0.0000,0.0000
